url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/easy-rider-thrive--triumph-all-day-sneakers/403289?swatch=02,Puma,Easy Rider Thrive & Triumph All-Day Sneakers," ? 7,199.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/the-dagger-basketball-shoes/311353?swatch=09,Puma,The Dagger Basketball Shoes," ? 7,199.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/suede-xl-sneakers/395205?swatch=01,Puma,Suede XL Sneakers,," ? 8,999.00 "
https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=01,Puma,Liberate NITRO™ 2 Women's Running Shoes," ? 8,799.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/solarflash-iii-indoor-sports-shoes/107850?swatch=06,Puma,Solarflash III Indoor Sports Shoes," ? 5,599.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/softride-seave-aquaterra-lightweight-sandal/404540?swatch=01,Puma,Softride Seave Aquaterra Lightweight Sandal,," ? 3,499.00 "
https://in.puma.com/in/en/pd/slipstream-sportstyle-sneakers/404690?swatch=02,Puma,Slipstream Sportstyle Sneakers," ? 7,199.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/pwr-nitro-sqd-2-womens-training-shoes/310147?swatch=14,Puma,PWR NITRO™ SQD 2 Women's Training Shoes,," ? 12,999.00 "
https://in.puma.com/in/en/pd/easy-rider-mix-sneakers/399025?swatch=01,Puma,Easy Rider Mix Sneakers," ? 5,999.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/velocity-nitro-2-womens-running-shoes/376262?swatch=21,Puma,Velocity NITRO™ 2 Women's Running Shoes," ? 8,999.00 "," ? 11,999.00 "
https://in.puma.com/in/en/pd/ralph-sampson-lo-sneakers/370846?swatch=11,Puma,Ralph Sampson Lo Sneakers," ? 3,899.00 "," ? 7,499.00 "
https://in.puma.com/in/en/pd/x-ray-2-square-womens-superior-comfort-sneakers/404686?swatch=02,Puma,X-Ray 2 Square Women’s Superior Comfort Sneakers," ? 4,239.00 "," ? 7,999.00 "
